Date,Close,High,Low,Open,Volume
2023-01-03,3116.510009765625,3119.860107421875,3073.050048828125,3087.510009765625,281400
2023-01-04,3123.52001953125,3129.090087890625,3109.449951171875,3117.570068359375,273300
2023-01-05,3155.219970703125,3159.429931640625,3130.22998046875,3132.760009765625,257000
2023-01-06,3157.639892578125,3170.739990234375,3151.840087890625,3155.070068359375,257400
2023-01-09,3176.080078125,3183.580078125,3165.429931640625,3169.3701171875,258100
2023-01-10,3169.510009765625,3178.159912109375,3165.139892578125,3178.02001953125,233000
2023-01-11,3161.840087890625,3184.760009765625,3160.889892578125,3172.3798828125,237700
2023-01-12,3163.449951171875,3171.590087890625,3153.39990234375,3167.27001953125,216700
2023-01-13,3195.31005859375,3195.31005859375,3167.510009765625,3170.35009765625,220200
2023-01-16,3227.592041015625,3251.3740234375,3197.319091796875,3198.51904296875,306700
2023-01-17,3224.239990234375,3231.260009765625,3211.760009765625,3229.43994140625,226600
2023-01-18,3224.409912109375,3234.820068359375,3220.3701171875,3227.590087890625,212100
2023-01-19,3240.280029296875,3240.280029296875,3210.3798828125,3221.52001953125,226500
2023-01-20,3264.81005859375,3267.06005859375,3247.199951171875,3247.199951171875,273200
2023-01-30,3269.320068359375,3310.489990234375,3266.760009765625,3308.8701171875,353300
2023-01-31,3255.669921875,3277.25,3252.010009765625,3266.139892578125,300200
2023-02-01,3284.919921875,3284.919921875,3245.409912109375,3262.199951171875,339500
2023-02-02,3285.669921875,3295.760009765625,3272.409912109375,3291.780029296875,333400
2023-02-03,3263.409912109375,3275.659912109375,3235.35009765625,3275.659912109375,293300
2023-02-06,3238.699951171875,3250.35009765625,3226.2099609375,3244.699951171875,267100
2023-02-07,3248.090087890625,3250.030029296875,3233.830078125,3245.22998046875,250900
2023-02-08,3232.110107421875,3257.110107421875,3230.43994140625,3251.5,234500
2023-02-09,3270.3798828125,3270.3798828125,3225.77001953125,3227.72998046875,254800
2023-02-10,3260.669921875,3269.989990234375,3247.22998046875,3266.43994140625,260600
2023-02-13,3284.159912109375,3285.090087890625,3252.6298828125,3256.989990234375,297200
2023-02-14,3293.280029296875,3293.72998046875,3279.18994140625,3288.969970703125,271000
2023-02-15,3280.489990234375,3296.199951171875,3274.550048828125,3294.02001953125,269900
2023-02-16,3249.030029296875,3308.830078125,3231.340087890625,3281.739990234375,380900
2023-02-17,3224.02001953125,3262.469970703125,3223.260009765625,3244.72998046875,278500
2023-02-20,3290.340087890625,3291.0400390625,3225.840087890625,3230.469970703125,325000
2023-02-21,3306.52001953125,3308.7900390625,3282.43994140625,3291.6298828125,324400
2023-02-22,3291.14990234375,3307.030029296875,3286.719970703125,3292.050048828125,255400
2023-02-23,3287.47998046875,3307.43994140625,3275.360107421875,3293.52001953125,262300
2023-02-24,3267.159912109375,3288.389892578125,3253.969970703125,3287.260009765625,234200
2023-02-27,3258.030029296875,3276.580078125,3251.719970703125,3257.0,242900
2023-02-28,3279.610107421875,3280.419921875,3246.139892578125,3265.739990234375,251600
2023-03-01,3312.35009765625,3315.159912109375,3272.0400390625,3279.139892578125,318400
2023-03-02,3310.64990234375,3320.739990234375,3306.4599609375,3308.010009765625,328500
2023-03-03,3328.389892578125,3330.60009765625,3302.6201171875,3314.77001953125,344000
2023-03-06,3322.030029296875,3333.06005859375,3308.72998046875,3332.02001953125,340500
2023-03-07,3285.10009765625,3342.860107421875,3284.409912109375,3320.2099609375,390000
2023-03-08,3283.25,3283.25,3263.68994140625,3271.8798828125,260400
2023-03-09,3276.090087890625,3289.06005859375,3260.0,3285.93994140625,264000
2023-03-10,3230.080078125,3262.14990234375,3229.5,3255.510009765625,281100
2023-03-13,3268.699951171875,3268.699951171875,3228.1201171875,3228.1201171875,294900
2023-03-14,3245.31005859375,3262.0,3216.989990234375,3261.919921875,319900
2023-03-15,3263.31005859375,3273.1201171875,3256.860107421875,3261.030029296875,305200
2023-03-16,3226.889892578125,3257.429931640625,3224.719970703125,3244.469970703125,327400
2023-03-17,3250.550048828125,3279.919921875,3240.159912109375,3245.260009765625,343000
2023-03-20,3234.909912109375,3267.989990234375,3231.64990234375,3253.929931640625,392500
2023-03-21,3255.64990234375,3256.0,3237.889892578125,3240.840087890625,301800
2023-03-22,3265.75,3279.389892578125,3255.739990234375,3263.409912109375,290800
2023-03-23,3286.64990234375,3286.64990234375,3252.989990234375,3258.780029296875,306100
2023-03-24,3265.64990234375,3282.739990234375,3260.840087890625,3282.739990234375,324500
2023-03-27,3251.39990234375,3261.820068359375,3229.699951171875,3261.820068359375,337900
2023-03-28,3245.3798828125,3264.10009765625,3241.739990234375,3256.60009765625,295700
2023-03-29,3240.06005859375,3254.56005859375,3229.580078125,3253.6201171875,296900
2023-03-30,3261.25,3263.739990234375,3220.97998046875,3243.070068359375,299900
2023-03-31,3272.860107421875,3278.419921875,3260.0400390625,3263.409912109375,283600
2023-04-03,3296.39990234375,3299.72998046875,3276.419921875,3277.340087890625,357700
2023-04-04,3312.56005859375,3312.56005859375,3290.989990234375,3297.179931640625,385900
2023-04-06,3312.6298828125,3314.530029296875,3296.06005859375,3302.75,327200
2023-04-07,3327.64990234375,3328.85009765625,3308.06005859375,3312.47998046875,283000
2023-04-10,3315.360107421875,3332.719970703125,3309.919921875,3331.510009765625,340800
2023-04-11,3313.570068359375,3317.449951171875,3298.25,3317.080078125,320600
2023-04-12,3327.179931640625,3330.7099609375,3315.39990234375,3316.860107421875,343000
2023-04-13,3318.360107421875,3334.469970703125,3309.25,3321.27001953125,347900
2023-04-14,3338.14990234375,3340.080078125,3316.81005859375,3326.3701171875,338300
2023-04-17,3385.610107421875,3385.610107421875,3336.389892578125,3337.06005859375,402800
2023-04-18,3393.330078125,3396.169921875,3375.780029296875,3379.22998046875,348400
2023-04-19,3370.1298828125,3394.9599609375,3364.639892578125,3391.35009765625,346100
2023-04-20,3367.030029296875,3371.3701171875,3344.02001953125,3367.050048828125,350400
2023-04-21,3301.260009765625,3367.610107421875,3301.260009765625,3364.0,387400
2023-04-24,3275.409912109375,3303.090087890625,3264.929931640625,3300.81005859375,354300
2023-04-25,3264.8701171875,3288.570068359375,3229.449951171875,3276.39990234375,380900
